t_s,delta_pm_pu,Pm0_pu_sysbase
3.3,0.048477693817485096,1.1175729314683598
3.31,0.048484301009250434,1.1175729314683598
3.32,0.048491033631566226,1.1175729314683598
3.33,0.04849787580840959,1.1175729314683598
3.34,0.048504811703527155,1.1175729314683598
3.35,0.048511825567970596,1.1175729314683598
3.36,0.04851890178620772,1.1175729314683598
3.37,0.048526024920681914,1.1175729314683598
3.38,0.0485331797546783,1.1175729314683598
3.39,0.04854035133341341,1.1175729314683598
3.4,0.04854752500323812,1.1175729314683598
3.41,0.048554686448848236,1.1175729314683598
3.42,0.04856182172846576,1.1175729314683598
3.43,0.04856891730687312,1.1175729314683598
3.44,0.04857596008630662,1.1175729314683598
3.45,0.048582937435095404,1.1175729314683598
3.46,0.04858983721409146,1.1175729314683598
3.47,0.04859664780078531,1.1175729314683598
3.48,0.0486033581111794,1.1175729314683598
3.49,0.04860995761933384,1.1175729314683598
3.5,0.048616436374658206,1.1175729314683598
3.51,0.048622785016945724,1.1175729314683598
3.52,0.048628994789122124,1.1175729314683598
3.53,0.048635057547850115,1.1175729314683598
3.54,0.0486409657718943,1.1175729314683598
3.55,0.04864671256842986,1.1175729314683598
3.56,0.04865229167721406,1.1175729314683598
3.57,0.048657697472805,1.1175729314683598
3.58,0.04866292496477623,1.1175729314683598
3.59,0.04866796979607801,1.1175729314683598
3.6,0.04867282823957126,1.1175729314683598
3.61,0.048677497192844435,1.1175729314683598
3.62,0.04868197417132793,1.1175729314683598
3.63,0.04868625729987945,1.1175729314683598
3.64,0.04869034530281616,1.1175729314683598
3.65,0.048694237492587306,1.1175729314683598
3.66,0.04869793375705605,1.1175729314683598
3.67,0.048701434545592774,1.1175729314683598
3.68,0.04870474085395064,1.1175729314683598
3.69,0.048707854208115846,1.1175729314683598
3.7,0.048710776647114984,1.1175729314683598
3.71,0.048713510704961244,1.1175729314683598
3.72,0.048716059391722646,1.1175729314683598
3.73,0.04871842617389358,1.1175729314683598
3.74,0.04872061495405112,1.1175729314683598
3.75,0.04872263004995568,1.1175729314683598
3.76,0.048724476173120465,1.1175729314683598
3.77,0.04872615840693562,1.1175729314683598
3.78,0.04872768218444065,1.1175729314683598
3.79,0.04872905326576259,1.1175729314683598
3.8,0.04873027771535331,1.1175729314683598
3.81,0.04873136187902365,1.1175729314683598
3.82,0.04873231236089415,1.1175729314683598
3.83,0.04873313600026843,1.1175729314683598
3.84,0.04873383984853719,1.1175729314683598
3.85,0.04873443114611491,1.1175729314683598
3.86,0.04873491729951219,1.1175729314683598
3.87,0.04873530585854821,1.1175729314683598
3.88,0.04873560449378911,1.1175729314683598
3.89,0.04873582097422085,1.1175729314683598
3.9,0.04873596314522693,1.1175729314683598
3.91,0.04873603890690331,1.1175729314683598
3.92,0.0487360561927385,1.1175729314683598
3.93,0.04873602294871235,1.1175729314683598
3.94,0.04873594711283259,1.1175729314683598
3.95,0.04873583659515659,1.1175729314683598
3.96,0.04873569925831435,1.1175729314683598
3.97,0.048735542898577115,1.1175729314683598
3.98,0.04873537522748323,1.1175729314683598
3.99,0.04873520385406106,1.1175729314683598
4.0,0.048735036267662325,1.1175729314683598
4.01,0.0487348798214425,1.1175729314683598
4.02,0.04873474171648901,1.1175729314683598
4.03,0.04873462898664327,1.1175729314683598
4.04,0.048734548484007906,1.1175729314683598
4.05,0.04873450686517742,1.1175729314683598
4.06,0.04873451057820007,1.1175729314683598
4.07,0.048734565850274754,1.1175729314683598
4.08,0.048734678676224163,1.1175729314683598
4.09,0.048734854807716076,1.1175729314683598
4.1,0.04873509974328325,1.1175729314683598
4.11,0.04873541871911857,1.1175729314683598
4.12,0.04873581670067034,1.1175729314683598
4.13,0.04873629837504358,1.1175729314683598
4.14,0.04873686814419066,1.1175729314683598
4.15,0.04873753011893218,1.1175729314683598
4.16,0.048738288113762816,1.1175729314683598
4.17,0.048739145642491176,1.1175729314683598
4.18,0.04874010591466108,1.1175729314683598
4.19,0.04874117183280056,1.1175729314683598
4.2,0.04874234599045014,1.1175729314683598
4.21,0.04874363067098887,1.1175729314683598
4.22,0.04874502784725229,1.1175729314683598
4.23,0.04874653918190842,1.1175729314683598
4.24,0.04874816602861307,1.1175729314683598
4.25,0.048749909433893145,1.1175729314683598
4.26,0.04875177013979135,1.1175729314683598
4.27,0.048753748587195375,1.1175729314683598
4.28,0.04875584491990155,1.1175729314683598
4.29,0.048758058989329,1.1175729314683598
4.3,0.048760390359916514,1.1175729314683598
4.31,0.04876283831514386,1.1175729314683598
4.32,0.04876540186416349,1.1175729314683598
4.33,0.04876807974903819,1.1175729314683598
4.34,0.048770870452516775,1.1175729314683598
4.35,0.048773772206366306,1.1175729314683598
4.36,0.048776783000189866,1.1175729314683598
4.37,0.048779900590738785,1.1175729314683598
4.38,0.04878312251164989,1.1175729314683598
4.39,0.04878644608361723,1.1175729314683598
4.4,0.04878986842492009,1.1175729314683598
4.41,0.048793386462315874,1.1175729314683598
4.42,0.048796996942241246,1.1175729314683598
4.43,0.04880069644228262,1.1175729314683598
4.44,0.04880448138290791,1.1175729314683598
4.45,0.048808348039388834,1.1175729314683598
4.46,0.04881229255390326,1.1175729314683598
4.47,0.04881631094778141,1.1175729314683598
4.48,0.048820399133844644,1.1175729314683598
4.49,0.04882455292881449,1.1175729314683598
4.5,0.048828768065759955,1.1175729314683598
4.51,0.048833040206532,1.1175729314683598
4.52,0.048837364954169696,1.1175729314683598
4.53,0.04884173786523455,1.1175729314683598
4.54,0.04884615446203962,1.1175729314683598
4.55,0.048850610244746746,1.1175729314683598
4.56,0.048855100703298314,1.1175729314683598
4.57,0.048859621329151046,1.1175729314683598
4.58,0.04886416762678524,1.1175729314683598
4.59,0.04886873512496304,1.1175729314683598
4.6,0.04887331938770512,1.1175729314683598
4.61,0.048877916024964316,1.1175729314683598
4.62,0.048882520702964755,1.1175729314683598
4.63,0.04888712915419663,1.1175729314683598
4.64,0.04889173718703345,1.1175729314683598
4.65,0.04889634069495441,1.1175729314683598
4.66,0.048900935665365214,1.1175729314683598
4.67,0.04890551818797432,1.1175729314683598
4.68,0.048910084462744946,1.1175729314683598
4.69,0.048914630807376555,1.1175729314683598
4.7,0.04891915366432862,1.1175729314683598
4.71,0.04892364960735777,1.1175729314683598
4.72,0.04892811534757191,1.1175729314683598
4.73,0.048932547738995004,1.1175729314683598
4.74,0.04893694378362058,1.1175729314683598
4.75,0.04894130063597566,1.1175729314683598
4.76,0.0489456156071734,1.1175729314683598
4.77,0.04894988616845582,1.1175729314683598
4.78,0.048954109954241626,1.1175729314683598
4.79,0.04895828476466363,1.1175729314683598
4.8,0.04896240856761135,1.1175729314683598
4.81,0.048966479500272914,1.1175729314683598
4.82,0.04897049587020354,1.1175729314683598
4.83,0.04897445615589751,1.1175729314683598
4.84,0.04897835900690417,1.1175729314683598
4.85,0.04898220324347325,1.1175729314683598
4.86,0.048985987855754455,1.1175729314683598
4.87,0.04898971200256227,1.1175729314683598
4.88,0.04899337500971219,1.1175729314683598
4.89,0.04899697636794702,1.1175729314683598
4.9,0.04900051573047578,1.1175729314683598
4.91,0.04900399291011708,1.1175729314683598
4.92,0.049007407876100584,1.1175729314683598
4.93,0.04901076075050035,1.1175729314683598
4.94,0.04901405180435622,1.1175729314683598
4.95,0.04901728145347665,1.1175729314683598
4.96,0.04902045025395112,1.1175729314683598
4.97,0.049023558897387846,1.1175729314683598
4.98,0.049026608205900976,1.1175729314683598
4.99,0.04902959912685567,1.1175729314683598
5.0,0.04903253272740637,1.1175729314683598
5.01,0.0490354101888305,1.1175729314683598
5.02,0.04903823280069474,1.1175729314683598
5.03,0.049041001954857416,1.1175729314683598
5.04,0.049043719139336354,1.1175729314683598
5.05,0.0490463859320636,1.1175729314683598
5.06,0.049049003994530486,1.1175729314683598
5.07,0.049051575065369904,1.1175729314683598
5.08,0.049054100953861195,1.1175729314683598
5.09,0.04905658353340437,1.1175729314683598
5.1,0.04905902473496947,1.1175729314683598
5.11,0.04906142654053605,1.1175729314683598
5.12,0.049063790976545285,1.1175729314683598
5.13,0.049066120107382094,1.1175729314683598
5.14,0.04906841602890422,1.1175729314683598
5.15,0.049070680862024485,1.1175729314683598
5.16,0.0490729167463783,1.1175729314683598
5.17,0.049075125834074286,1.1175729314683598
5.18,0.04907731028355522,1.1175729314683598
5.19,0.04907947225357787,1.1175729314683598
5.2,0.049081613897317695,1.1175729314683598
5.21,0.04908373735662621,1.1175729314683598
5.22,0.04908584475644105,1.1175729314683598
5.23,0.04908793819935944,1.1175729314683598
5.24,0.04909001976039304,1.1175729314683598
5.25,0.049092091481906755,1.1175729314683598
5.26,0.049094155368756325,1.1175729314683598
5.27,0.04909621338362376,1.1175729314683598
5.28,0.04909826744257214,1.1175729314683598
5.29,0.049100319410812145,1.1175729314683598
5.3,0.049102371098695974,1.1175729314683598
