t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
4.13,1.3276185683892945,-0.048418577670768265,1.3276185683892945,-0.048418577670768265,1.4388558868326715,-0.16876829071964958,0.0,0.0,SG-slack
4.14,1.327655033033653,-0.048397938059499074,1.327655033033653,-0.048397938059499074,1.43889235147703,-0.1687476511083804,0.0,0.0,SG-slack
4.15,1.3276953825302684,-0.048377105716445046,1.3276953825302684,-0.048377105716445046,1.4389327009736455,-0.16872681876532636,0.0,0.0,SG-slack
4.16,1.3277393586967494,-0.04835607707586656,1.3277393586967494,-0.04835607707586656,1.4389766771401264,-0.16870579012474787,0.0,0.0,SG-slack
4.17,1.327786697355692,-0.048334849080145514,1.327786697355692,-0.048334849080145514,1.439024015799069,-0.16868456212902683,0.0,0.0,SG-slack
4.18,1.3278371291542665,-0.04831341918110313,1.3278371291542665,-0.04831341918110313,1.4390744475976436,-0.16866313222998444,0.0,0.0,SG-slack
4.19,1.3278903803850224,-0.048291785339810545,1.3278903803850224,-0.048291785339810545,1.4391276988283994,-0.16864149838869186,0.0,0.0,SG-slack
4.2,1.3279461738047966,-0.048269946025892546,1.3279461738047966,-0.048269946025892546,1.4391834922481737,-0.16861965907477386,0.0,0.0,SG-slack
4.21,1.3280042294500913,-0.04824790021536016,1.3280042294500913,-0.04824790021536016,1.4392415478934684,-0.16859761326424147,0.0,0.0,SG-slack
4.22,1.328064265446839,-0.04822564738765306,1.328064265446839,-0.04822564738765306,1.4393015838902161,-0.16857536043653437,0.0,0.0,SG-slack
4.23,1.328125998812117,-0.048203187521451196,1.328125998812117,-0.048203187521451196,1.439363317255494,-0.1685529005703325,0.0,0.0,SG-slack
4.24,1.328189146245963,-0.04818052108970147,1.328189146245963,-0.04818052108970147,1.43942646468934,-0.16853023413858279,0.0,0.0,SG-slack
4.25,1.328253424911306,-0.048157649053515356,1.328253424911306,-0.048157649053515356,1.439490743354683,-0.16850736210239667,0.0,0.0,SG-slack
4.26,1.3283185531998192,-0.04813457285520514,1.3283185531998192,-0.04813457285520514,1.4395558716431962,-0.16848428590408646,0.0,0.0,SG-slack
4.27,1.328384251481975,-0.04811129441020709,1.328384251481975,-0.04811129441020709,1.439621569925352,-0.1684610074590884,0.0,0.0,SG-slack
4.28,1.3284502428391174,-0.04808781609823087,1.3284502428391174,-0.04808781609823087,1.4396875612824944,-0.16843752914711219,0.0,0.0,SG-slack
4.29,1.3285162537762525,-0.04806414075339632,1.3285162537762525,-0.04806414075339632,1.4397535722196295,-0.16841385380227764,0.0,0.0,SG-slack
4.3,1.3285820149130823,-0.04804027165347133,1.3285820149130823,-0.04804027165347133,1.4398193333564593,-0.16838998470235264,0.0,0.0,SG-slack
4.31,1.3286472616523777,-0.04801621250829999,1.3286472616523777,-0.04801621250829999,1.4398845800957547,-0.1683659255571813,0.0,0.0,SG-slack
4.32,1.3287117348237738,-0.047991967447224726,1.3287117348237738,-0.047991967447224726,1.4399490532671508,-0.16834168049610604,0.0,0.0,SG-slack
4.33,1.3287751813012116,-0.04796754100603573,1.3287751813012116,-0.04796754100603573,1.4400124997445887,-0.16831725405491704,0.0,0.0,SG-slack
4.34,1.3288373545934222,-0.04794293811261202,1.3288373545934222,-0.04794293811261202,1.4400746730367993,-0.16829265116149333,0.0,0.0,SG-slack
4.35,1.3288980154051555,-0.04791816407232072,1.3288980154051555,-0.04791816407232072,1.4401353338485325,-0.16826787712120203,0.0,0.0,SG-slack
4.36,1.3289569321690882,-0.047893224552226416,1.3289569321690882,-0.047893224552226416,1.4401942506124652,-0.16824293760110773,0.0,0.0,SG-slack
4.37,1.3290138815461803,-0.04786812556499612,1.3290138815461803,-0.04786812556499612,1.4402511999895573,-0.16821783861387743,0.0,0.0,SG-slack
4.38,1.3290686488947068,-0.04784287345186272,1.3290686488947068,-0.04784287345186272,1.4403059673380838,-0.16819258650074403,0.0,0.0,SG-slack
4.39,1.3291210287059305,-0.047817474865193665,1.3291210287059305,-0.047817474865193665,1.4403583471493075,-0.16816718791407498,0.0,0.0,SG-slack
4.4,1.329170825006925,-0.047791936750238184,1.329170825006925,-0.047791936750238184,1.440408143450302,-0.1681416497991195,0.0,0.0,SG-slack
4.41,1.3292178517287965,-0.04776626632664388,1.3292178517287965,-0.04776626632664388,1.4404551701721735,-0.1681159793755252,0.0,0.0,SG-slack
4.42,1.3292619330404565,-0.04774047106923304,1.3292619330404565,-0.04774047106923304,1.4404992514838335,-0.16809018411811436,0.0,0.0,SG-slack
4.43,1.3293029036477038,-0.047714558688435355,1.3293029036477038,-0.047714558688435355,1.4405402220910808,-0.16806427173731667,0.0,0.0,SG-slack
4.44,1.329340609056598,-0.0476885371104801,1.329340609056598,-0.0476885371104801,1.440577927499975,-0.1680382501593614,0.0,0.0,SG-slack
4.45,1.3293749058018727,-0.04766241445704561,1.3293749058018727,-0.04766241445704561,1.4406122242452497,-0.16801212750592692,0.0,0.0,SG-slack
4.46,1.3294056616400831,-0.04763619902463978,1.3294056616400831,-0.04763619902463978,1.4406429800834601,-0.1679859120735211,0.0,0.0,SG-slack
4.47,1.329432755706843,-0.047609899263986566,1.329432755706843,-0.047609899263986566,1.44067007415022,-0.16795961231286788,0.0,0.0,SG-slack
4.48,1.3294560786398075,-0.047583523759014146,1.3294560786398075,-0.047583523759014146,1.4406933970831846,-0.16793323680789546,0.0,0.0,SG-slack
4.49,1.32947553266618,-0.0475570812058812,1.32947553266618,-0.0475570812058812,1.440712851109557,-0.16790679425476251,0.0,0.0,SG-slack
4.5,1.3294910316564732,-0.047530580391741156,1.3294910316564732,-0.047530580391741156,1.4407283500998502,-0.16788029344062247,0.0,0.0,SG-slack
4.51,1.3295025011439308,-0.047504030173837475,1.3295025011439308,-0.047504030173837475,1.4407398195873078,-0.1678537432227188,0.0,0.0,SG-slack
4.52,1.3295098783112933,-0.04747743945837424,1.3295098783112933,-0.04747743945837424,1.4407471967546703,-0.16782715250725555,0.0,0.0,SG-slack
4.53,1.3295131119443189,-0.04745081717962679,1.3295131119443189,-0.04745081717962679,1.440750430387696,-0.1678005302285081,0.0,0.0,SG-slack
4.54,1.3295121623546309,-0.04742417227929441,1.3295121623546309,-0.04742417227929441,1.440749480798008,-0.16777388532817572,0.0,0.0,SG-slack
4.55,1.3295070012706907,-0.04739751368583897,1.3295070012706907,-0.04739751368583897,1.4407443197140677,-0.16774722673472028,0.0,0.0,SG-slack
4.56,1.329497611699946,-0.04737085029449134,1.329497611699946,-0.04737085029449134,1.440734930143323,-0.16772056334337265,0.0,0.0,SG-slack
4.57,1.3294839877611977,-0.04734419094725942,1.3294839877611977,-0.04734419094725942,1.4407213062045747,-0.16769390399614073,0.0,0.0,SG-slack
4.58,1.3294661344902299,-0.04731754441349151,1.3294661344902299,-0.04731754441349151,1.440703452933607,-0.16766725746237282,0.0,0.0,SG-slack
4.59,1.3294440676181654,-0.047290919370947704,1.3294440676181654,-0.047290919370947704,1.4406813860615424,-0.16764063241982902,0.0,0.0,SG-slack
4.6,1.3294178133248273,-0.04726432438719083,1.3294178133248273,-0.04726432438719083,1.4406551317682044,-0.16761403743607214,0.0,0.0,SG-slack
4.61,1.3293874079683492,-0.04723776790166148,1.3293874079683492,-0.04723776790166148,1.4406247264117262,-0.1675874809505428,0.0,0.0,SG-slack
4.62,1.3293528977914322,-0.04721125820838862,1.3293528977914322,-0.04721125820838862,1.4405902162348092,-0.16756097125726993,0.0,0.0,SG-slack
4.63,1.3293143386069393,-0.047184803439083545,1.3293143386069393,-0.047184803439083545,1.4405516570503163,-0.16753451648796486,0.0,0.0,SG-slack
4.64,1.3292717954631594,-0.04715841154727482,1.3292717954631594,-0.04715841154727482,1.4405091139065365,-0.16750812459615613,0.0,0.0,SG-slack
4.65,1.3292253422905052,-0.04713209029287366,1.3292253422905052,-0.04713209029287366,1.4404626607338822,-0.16748180334175497,0.0,0.0,SG-slack
