t_s,df_hz
3.45,-0.03669976834717453
3.46,-0.03669381885751011
3.47,-0.03668767889055979
3.48,-0.03668136733508681
3.49,-0.036674903080703786
3.5,-0.036668304998491476
3.51,-0.03666159192169839
3.52,-0.03665478262662604
3.53,-0.03664789581304643
3.54,-0.03664095008435424
3.55,-0.03663396392704458
3.56,-0.03662695568955985
3.57,-0.036619943560113076
3.58,-0.036612945543818776
3.59,-0.0366059794386946
3.6,-0.03659906281077945
3.61,-0.03659221296819656
3.62,-0.0365854469343007
3.63,-0.0365787814199945
3.64,-0.03657223279505238
3.65,-0.03656581705897067
3.66,-0.03655954981091455
3.67,-0.03655344621954111
3.68,-0.03654752099229522
3.69,-0.036541788344647365
3.7,-0.036536261969394766
3.71,-0.03653095500608932
3.72,-0.03652588001112466
3.73,-0.03652104892818139
3.74,-0.03651647305974452
3.75,-0.03651216303952783
3.76,-0.03650812880615013
3.77,-0.03650437957834644
3.78,-0.03650092383158932
3.79,-0.036497769276874106
3.8,-0.03649492284108396
3.81,-0.03649239064981543
3.82,-0.036490178012299646
3.83,-0.036488289408913084
3.84,-0.036486728481027436
3.85,-0.03648549802367371
3.86,-0.03648459998085073
3.87,-0.03648403544371
3.88,-0.03648380465146489
3.89,-0.03648390699522326
3.9,-0.036484341024782964
3.91,-0.03648510445819371
3.92,-0.03648619419415149
3.93,-0.03648760632745747
3.94,-0.03648933616678345
3.95,-0.03649137825561287
3.96,-0.03649372639530173
3.97,-0.03649637367102813
3.98,-0.036499312479668054
3.99,-0.03650253456025697
4.0,-0.03650603102640396
4.01,-0.03650979240051107
4.02,-0.03651380864985435
4.03,-0.036518069224268514
4.04,-0.036522563095085434
4.05,-0.03652727879551766
4.06,-0.03653220446181415
4.07,-0.03653732787540771
4.08,-0.03654263650568119
4.09,-0.0365481175532292
4.1,-0.03655375799313359
4.11,-0.036559544618691715
4.12,-0.03656546408468573
4.13,-0.03657150295059644
4.14,-0.03657764772317743
4.15,-0.03658388489855906
4.16,-0.03659020100334012
4.17,-0.036596582634935135
4.18,-0.036603016500705174
4.19,-0.03660948945588651
4.2,-0.03661598854020569
4.21,-0.036622501012966116
4.22,-0.036629014386587784
4.23,-0.03663551645853531
4.24,-0.03664199534133963
4.25,-0.03664843949109049
4.26,-0.0366548377336915
4.27,-0.036661179289550046
4.28,-0.03666745379602957
4.29,-0.03667365132809341
4.3,-0.03667976241679052
4.31,-0.03668577806586003
4.32,-0.036691689766338964
4.33,-0.03669748950901167
4.34,-0.03670316979503031
4.35,-0.03670872364456983
4.36,-0.03671414460344362
4.37,-0.03671942674804981
4.38,-0.03672456468834772
4.39,-0.03672955356909918
4.4,-0.03673438906951487
4.41,-0.03673906740100546
4.42,-0.03674358530364635
4.43,-0.03674794004099954
4.44,-0.03675212939346926
4.45,-0.036756151650446066
4.46,-0.03676000560108323
4.47,-0.036763690523886214
4.48,-0.03676720617524372
4.49,-0.036770552776917244
4.5,-0.036773731002607585
4.51,-0.03677674196359592
4.52,-0.03677958719357626
4.53,-0.03678226863298325
4.54,-0.03678478861246318
4.55,-0.036787149835873605
4.56,-0.03678935536282067
4.57,-0.036791408590791365
4.58,-0.03679331323687504
4.59,-0.036795073319314524
4.6,-0.03679669313866535
4.61,-0.03679817725901434
4.62,-0.0367995304889497
4.63,-0.03680075786249315
4.64,-0.03680186462018567
4.65,-0.0368028561899071
4.66,-0.03680373816817244
4.67,-0.036804516301253615
4.68,-0.03680519646675371
4.69,-0.036805784655091545
4.7,-0.03680628695149937
4.71,-0.036806709518188235
4.72,-0.03680705857674026
4.73,-0.03680734039113043
4.74,-0.036807561250687154
4.75,-0.036807727453799954
4.76,-0.03680784529186695
4.77,-0.036807921033706524
4.78,-0.0368079609103854
4.79,-0.036807971100569624
4.8,-0.03680795771632463
4.81,-0.03680792678933557
4.82,-0.036807884257788
4.83,-0.036807835953602784
4.84,-0.036807787590337045
4.85,-0.036807744751479
4.86,-0.03680771287946666
4.87,-0.036807697265079764
4.88,-0.036807703037562256
4.89,-0.03680773515517528
4.9,-0.036807798396429586
4.91,-0.036807897351781436
4.92,-0.03680803641607764
4.93,-0.03680821978148075
4.94,-0.036808451431027504
4.95,-0.036808735132729
4.96,-0.03680907443434976
4.97,-0.03680947265875384
4.98,-0.03680993289982541
4.99,-0.036810458019069854
5.0,-0.03681105064270884
5.01,-0.0368117131594893
5.02,-0.03681244771893592
5.03,-0.03681325623039467
5.04,-0.0368141403624782
5.05,-0.03681510154319241
5.06,-0.036816140960690476
5.07,-0.03681725956437279
5.08,-0.03681845806682746
5.09,-0.03681973694615866
5.1,-0.03682109644876742
5.11,-0.03682253659293959
5.12,-0.0368240571726064
5.13,-0.036825657761878794
5.14,-0.03682733771988796
5.15,-0.0368290961961824
5.16,-0.03683093213648307
5.17,-0.03683284428895826
5.18,-0.03683483121084765
5.19,-0.03683689127551856
5.2,-0.03683902267976112
5.21,-0.036841223451596156
5.22,-0.036843491458289565
5.23,-0.03684582441464541
5.24,-0.03684821989165339
5.25,-0.036850675325254635
5.26,-0.036853188025451164
5.27,-0.03685575518552737
5.28,-0.036858373891407274
5.29,-0.03686104113115736
5.3,-0.03686375380473473
5.31,-0.036866508733544544
5.32,-0.0368693026702522
5.33,-0.036872132308538134
5.34,-0.0368749942929383
5.35,-0.03687788522842841
5.36,-0.03688080169026546
5.37,-0.03688374023339593
5.38,-0.036886697402045455
5.39,-0.036889669739040135
5.4,-0.03689265379496276
5.41,-0.03689564613709519
5.42,-0.0368986433582356
5.43,-0.036901642085356415
5.44,-0.03690463898766765
5.45,-0.036907630784867425
5.46,-0.03691061425476765
5.47,-0.036913586240795986
5.48,-0.03691654365908274
5.49,-0.036919483505221055
5.5,-0.036922402860779864
5.51,-0.03692529889930123
5.52,-0.036928168892090184
5.53,-0.03693101021348828
5.54,-0.036933820345767615
5.55,-0.03693659688378292
5.56,-0.03693933753900452
5.57,-0.03694204014333374
5.58,-0.0369447026524517
5.59,-0.036947323148657084
5.6,-0.036949899843463245
5.61,-0.036952431079668585
5.62,-0.03695491533306825
5.63,-0.03695735121379923
5.64,-0.03695973746725004
5.65,-0.03696207297451712
5.66,-0.036964356752653256
5.67,-0.03696658795439498
5.68,-0.03696876586750977
5.69,-0.03697088991392929
5.7,-0.03697295964846164
5.71,-0.036974974757047675
5.72,-0.03697693505499159
5.73,-0.036978840484528576
5.74,-0.03698069111241224
5.75,-0.03698248712701449
5.76,-0.03698422883523892
5.77,-0.03698591665915847
5.78,-0.0369875511325329
5.79,-0.036989132896817566
5.8,-0.03699066269734992
5.81,-0.03699214137900989
5.82,-0.03699356988192265
5.83,-0.03699494923689678
5.84,-0.036996280560762096
5.85,-0.036997565051622244
5.86,-0.03699880398382196
5.87,-0.03699999870309332
5.88,-0.03700115062139802
5.89,-0.037002261211845855
5.9,-0.03700333200343169
5.91,-0.03700436457589911
5.92,-0.037005360554465606
5.93,-0.03700632160459936
5.94,-0.03700724942682928
5.95,-0.0370081457514723
5.96,-0.03700901233350724
5.97,-0.037009850947527755
5.98,-0.037010663382552746
5.99,-0.03701145143721731
6.0,-0.037012216914756264
6.01,-0.03701296161825565
6.02,-0.03701368734601567
6.03,-0.03701439588693004
6.04,-0.03701508901606671
6.05,-0.037015768490313086
6.06,-0.037016436044294276
