t_s,p_oc_pu,delta_p_oc_pu,p_ref_eff_pu,p_error_pu,omega_pll_pu,Kw
5.61,0.4376250763838051,0.006123538052683804,1.0941587552123109,0.6565336788285058,0.9993838036245263,10.0
5.62,0.43762358602359935,0.006122047692478053,1.0941596566649399,0.6565360706413406,0.9993837675664211,10.0
5.63,0.4376221763369953,0.00612063800587398,1.0941605297159696,0.6565383533789744,0.99938373264438,10.0
5.64,0.43762085031179065,0.006119311980669388,1.0941613743437828,0.656540524031992,0.9993836988592675,10.0
5.65,0.43761961065063115,0.0061180723195098175,1.0941621905919932,0.6565425799413619,0.9993836662093389,10.0
5.66,0.43761845976982877,0.006116921438707446,1.0941629785680194,0.6565445187981905,0.999383634690298,10.0
5.67,0.43761739979898545,0.006115861467864119,1.0941637384415295,0.6565463386425442,0.9993836042953576,10.0
5.68,0.4376164325813633,0.006114894250242019,1.0941644704427367,0.6565480378613733,0.9993835750153093,10.0
5.69,0.437615559674997,0.006114021343875703,1.0941651748605876,0.6565496151855905,0.9993835468385953,10.0
5.7,0.43761478235453655,0.006113244023415247,1.0941658520408424,0.6565510696863057,0.9993835197513851,10.0
5.71,0.43761410161380593,0.006112563282684596,1.0941665023840308,0.6565524007702248,0.9993834937376576,10.0
5.72,0.43761351816901317,0.006111979837891863,1.0941671263433326,0.6565536081743195,0.9993834687792854,10.0
5.73,0.4376130324626545,0.00611149413153318,1.0941677244223367,0.6565546919596822,0.9993834448561253,10.0
5.74,0.437612644668033,0.0061111063369116755,1.094168297172732,0.656555652504699,0.9993834219461095,10.0
5.75,0.4376123546943884,0.006110816363267145,1.0941688451919256,0.6565564904975371,0.9993834000253418,10.0
5.76,0.43761216219261645,0.006110623861495132,1.0941693691205734,0.656557206927957,0.9993833790681957,10.0
5.77,0.43761206656154694,0.006110528230425649,1.0941698696400577,0.6565578030785106,0.9993833590474165,10.0
5.78,0.4376120669547313,0.006110528623610018,1.0941703474699191,0.6565582805151879,0.999383339934222,10.0
5.79,0.43761216228774785,0.0061106239566265305,1.0941708033652073,0.6565586410774596,0.9993833216984105,10.0
5.8,0.43761235124597037,0.006110812914849101,1.0941712381138313,0.6565588868678609,0.9993833043084656,10.0
5.81,0.4376126322927641,0.0061110939616427825,1.0941716525338543,0.6565590202410901,0.9993832877316645,10.0
5.82,0.437613003678104,0.006111465346982703,1.0941720474707648,0.6565590437926608,0.9993832719341882,10.0
5.83,0.4376134634475648,0.0061119251164434675,1.0941724237947348,0.65655896034717,0.9993832568812294,10.0
5.84,0.4376140094516576,0.0061124711205363365,1.094172782397866,0.6565587729462081,0.9993832425371042,10.0
5.85,0.43761463935547334,0.006113101024352025,1.0941731241914328,0.6565584848359595,0.9993832288653615,10.0
5.86,0.4376153506486213,0.006113812317500008,1.0941734501031264,0.656558099454505,0.9993832158288937,10.0
5.87,0.4376161406554073,0.006114602324286014,1.0941737610743145,0.6565576204189072,0.9993832033900462,10.0
5.88,0.43761700654523855,0.0061154682141172315,1.0941740580573127,0.6565570515120741,0.9993831915107263,10.0
5.89,0.437617945343209,0.006116407012087696,1.0941743420126906,0.6565563966694816,0.999383180152511,10.0
5.9,0.43761895394084904,0.006117415609727738,1.0941746139066064,0.6565556599657574,0.9993831692767545,10.0
5.91,0.43762002910699505,0.006118490775873733,1.0941748747081625,0.6565548456011676,0.9993831588446922,10.0
5.92,0.4376211674987535,0.006119629167632241,1.0941751253868348,0.6565539578880812,0.9993831488175454,10.0
5.93,0.4376223656725329,0.006120827341411579,1.09417536690992,0.6565530012373871,0.999383139156622,10.0
5.94,0.43762362009510625,0.00612208176398495,1.0941756002400724,0.6565519801449663,0.9993831298234158,10.0
5.95,0.4376249271546815,0.006123388823560146,1.0941758263328705,0.656550899178189,0.9993831207797039,10.0
5.96,0.4376262831719464,0.006124744840825089,1.0941760461344634,0.656549762962517,0.9993831119876402,10.0
5.97,0.43762768441106337,0.006126146079942021,1.0941762605792984,0.6565485761682351,0.9993831034098468,10.0
5.98,0.4376291270905833,0.006127588759462001,1.0941764705879122,0.6565473434973289,0.9993830950095023,10.0
5.99,0.43763060739425635,0.006129069063135057,1.0941766770647923,0.6565460696705359,0.9993830867504271,10.0
